name_en,name_ru,mood_en,mood_ru,description_en,description_ru,object_type_en,object_type_ru,image_path
Trifid Nebula,Трехраздельная туманность,"layered, colorful, complex","многослойный, красочный, сложный","The Trifid Nebula combines glowing emission gas, blue reflection light, and dark dust lanes. These features divide it into a striking three-part pattern.","Трехраздельная туманность сочетает светящийся газ, голубое отраженное сияние и темные полосы пыли. Эти детали делят ее на выразительный узор из трех частей.",nebula,туманность,data/curated_space_objects/images/trifid_nebula.jpg
Rosette Nebula,Туманность Розетка,"romantic, radiant, tender","романтичный, яркий, нежный",The Rosette Nebula is a large flower-shaped cloud of gas surrounding a cluster of young stars. Their radiation lights up the nebula and carves its central cavity.,Туманность Розетка — большое облако газа в форме цветка вокруг скопления молодых звезд. Их излучение подсвечивает туманность и выдувает полость в ее центре.,nebula,туманность,data/curated_space_objects/images/rosette_nebula.jpg
Cat's Eye Nebula,Туманность Кошачий Глаз,"sharp, hypnotic, strange","резкий, гипнотический, странный",The Cat’s Eye Nebula is a planetary nebula with intricate shells and loops of glowing gas. Its complex structure was created by a dying star shedding its outer layers.,"Туманность Кошачий Глаз — планетарная туманность со сложными оболочками и петлями светящегося газа. Ее необычная структура появилась, когда умирающая звезда сбрасывала внешние слои.",planetary nebula,планетарная туманность,data/curated_space_objects/images/cats_eye_nebula.jpg
Omega Nebula,Туманность Омега,"warm, active, theatrical","теплый, активный, театральный",The Omega Nebula is a bright star-forming region also known as the Swan Nebula. Its glowing gas clouds are shaped by hot young stars.,"Туманность Омега, также известная как Лебедь, — яркая область звездообразования. Ее светящиеся газовые облака формируются горячими молодыми звездами.",nebula,туманность,data/curated_space_objects/images/omega_nebula.jpg
Veil Nebula,Туманность Вуаль,"delicate, ghostly, elegant","деликатный, призрачный, элегантный",The Veil Nebula is a delicate network of filaments left behind by an ancient supernova. Its glowing strands mark the shock wave moving through interstellar gas.,"Туманность Вуаль — тонкая сеть нитей, оставшаяся после древней сверхновой. Ее светящиеся волокна отмечают ударную волну, проходящую через межзвездный газ.",supernova remnant,остаток сверхновой,data/curated_space_objects/images/veil_nebula.jpg
North America Nebula,Туманность Северная Америка,"expansive, bright, recognizable","масштабный, яркий, узнаваемый",The North America Nebula is a large emission nebula whose outline resembles the continent of North America. It glows red from ionized hydrogen gas.,"Туманность Северная Америка — большая эмиссионная туманность, очертания которой напоминают континент Северная Америка. Она светится красным благодаря ионизированному водороду.",nebula,туманность,data/curated_space_objects/images/north_america_nebula.jpg
Butterfly Nebula,Туманность Бабочка,"symmetric, fiery, graceful","симметричный, огненный, грациозный",The Butterfly Nebula is a planetary nebula with two bright lobes spreading from a dying star. Its shape looks like cosmic wings made of hot gas.,"Туманность Бабочка — планетарная туманность с двумя яркими лопастями, расходящимися от умирающей звезды. Ее форма похожа на космические крылья из горячего газа.",planetary nebula,планетарная туманность,data/curated_space_objects/images/butterfly_nebula.jpg
Eskimo Nebula,Туманность Эскимос,"quirky, bright, eccentric","причудливый, яркий, эксцентричный",The Eskimo Nebula is a planetary nebula with a bright inner shell and a fuzzy outer halo. It was formed when a Sun-like star began shedding its atmosphere.,"Эскимосская туманность — планетарная туманность с яркой внутренней оболочкой и пушистым внешним ореолом. Она возникла, когда звезда, похожая на Солнце, начала сбрасывать атмосферу.",planetary nebula,планетарная туманность,data/curated_space_objects/images/eskimo_nebula.jpg
Dumbbell Nebula,Туманность Гантель,"soft, balanced, glowing","мягкий, уравновешенный, сияющий",The Dumbbell Nebula is one of the brightest planetary nebulae in the sky. It is the expanding shell of gas from a dying star.,"Туманность Гантель — одна из самых ярких планетарных туманностей на небе. Это расширяющаяся оболочка газа, сброшенная умирающей звездой.",planetary nebula,планетарная туманность,data/curated_space_objects/images/dumbbell_nebula.jpg
Little Dumbbell Nebula,Туманность Маленькая Гантель,"unusual, bright, focused","необычный, яркий, сосредоточенный","The Little Dumbbell Nebula is a compact planetary nebula with a pinched, hourglass-like shape. It shows the late stages of a star similar to the Sun.","Туманность Маленькая Гантель — компактная планетарная туманность с перетянутой формой, напоминающей песочные часы. Она показывает позднюю стадию жизни звезды, похожей на Солнце.",planetary nebula,планетарная туманность,data/curated_space_objects/images/little_dumbbell_nebula.jpg
Flame Nebula,Туманность Пламя,"fiery, warm, dramatic","огненный, теплый, драматичный",The Flame Nebula is a glowing cloud of gas and dust near the bright star Alnitak in Orion. Dark dust lanes give it the appearance of cosmic flames.,Пламенная туманность — светящееся облако газа и пыли рядом с яркой звездой Альнитак в Орионе. Темные полосы пыли придают ей вид космического пламени.,nebula,туманность,data/curated_space_objects/images/flame_nebula.jpg
California Nebula,Туманность Калифорния,"open, warm, relaxed","открытый, тёплый, расслабленный",The California Nebula is a long red emission nebula shaped somewhat like the state of California. Its glow comes from hydrogen gas energized by a nearby hot star.,"Калифорнийская туманность — длинная красная эмиссионная туманность, по форме напоминающая штат Калифорния. Ее свечение создается водородным газом, возбужденным горячей соседней звездой.",nebula,туманность,data/curated_space_objects/images/california_nebula.jpg
Cone Nebula,Туманность Конус,"pointed, dark, focused","пронзительный, мрачный, сосредоточенный",The Cone Nebula is a dark pillar of gas and dust inside a bright star-forming region. Its sharp outline is shaped by radiation from nearby young stars.,Туманность Конус — темный столб газа и пыли внутри яркой области звездообразования. Его резкие очертания сформированы излучением молодых соседних звезд.,nebula,туманность,data/curated_space_objects/images/cone_nebula.jpg
Witch Head Nebula,Туманность Голова Ведьмы,"ghostly, eerie, poetic","призрачный, жутковатый, поэтичный",The Witch Head Nebula is a faint reflection nebula whose shape resembles a witch’s profile. It shines by reflecting blue light from nearby stars.,"Туманность Голова Ведьмы — слабая отражательная туманность, форма которой напоминает профиль ведьмы. Она светится, отражая голубой свет соседних звезд.",reflection nebula,отражательная туманность,data/curated_space_objects/images/witch_head_nebula.jpg
Iris Nebula,Туманность Ирис,"serene, delicate, elegant","безмятежный, деликатный, элегантный",The Iris Nebula is a bright reflection nebula surrounded by dark dust. Its blue glow comes from starlight scattered by fine dust grains.,"Туманность Ирис — яркая отражательная туманность, окруженная темной пылью. Ее голубое сияние возникает, когда звездный свет рассеивается на мелких пылинках.",reflection nebula,отражательная туманность,data/curated_space_objects/images/iris_nebula.jpg
Heart Nebula,Туманность Сердце,"warm, sincere, glowing","тёплый, искренний, светлый",The Heart Nebula is a large red emission nebula shaped like a cosmic heart. Young stars inside it light up the surrounding hydrogen gas.,"Туманность Сердце — большая красная эмиссионная туманность, похожая на космическое сердце. Молодые звезды внутри нее подсвечивают окружающий водородный газ.",nebula,туманность,data/curated_space_objects/images/heart_nebula.jpg
Soul Nebula,Туманность Души,"deep, warm, emotional","глубокий, теплый, эмоциональный",The Soul Nebula is a vast star-forming region often paired with the nearby Heart Nebula. Its glowing clouds contain many young stars and clusters.,"Туманность Души — огромная область звездообразования, которую часто рассматривают вместе с соседней Туманностью Сердце. Ее светящиеся облака содержат множество молодых звезд и скоплений.",nebula,туманность,data/curated_space_objects/images/soul_nebula.jpg
Bubble Nebula,Туманность Пузырь,"light, playful, fragile","легкий, игривый, хрупкий",The Bubble Nebula is a round shell of gas blown by the wind of a massive young star. It looks like a fragile bubble floating in space.,"Туманность Пузырь — круглая оболочка газа, выдутая ветром массивной молодой звезды. Она выглядит как хрупкий пузырь, парящий в космосе.",nebula,туманность,data/curated_space_objects/images/bubble_nebula.jpg
Elephant's Trunk Nebula,Туманность Слоновий Хобот,"grounded, patient, strong","устойчивый, терпеливый, сильный",The Elephant’s Trunk Nebula is a long dark cloud of gas and dust inside a bright star-forming region. Its shape resembles the trunk of an elephant.,Туманность Слоновий Хобот — длинное темное облако газа и пыли внутри яркой области звездообразования. По форме оно напоминает хобот слона.,nebula,туманность,data/curated_space_objects/images/elephants_trunk_nebula.jpg
Seagull Nebula,Туманность Чайка,"airy, light, free","воздушный, лёгкий, свободный",The Seagull Nebula is a wide region of glowing gas and dust whose outline resembles a flying bird. It contains several young star clusters.,"Туманность Чайка — широкая область светящегося газа и пыли, очертания которой напоминают летящую птицу. В ней находятся несколько молодых звездных скоплений.",nebula,туманность,data/curated_space_objects/images/seagull_nebula.jpg
Monkey Head Nebula,Туманность Голова Обезьяны,"funny, warm, expressive","забавный, теплый, выразительный","The Monkey Head Nebula is a bright star-forming cloud with a playful, face-like shape. Hot young stars make its gas glow.","Туманность Голова Обезьяны — яркое облако звездообразования с забавной формой, напоминающей лицо. Горячие молодые звезды заставляют ее газ светиться.",nebula,туманность,data/curated_space_objects/images/monkey_head_nebula.jpg
Thor's Helmet,Шлем Тора,"heroic, bold, windy","героический, смелый, ветреный","Thor’s Helmet is a bubble-shaped nebula blown by a powerful, massive star. Its wing-like arcs make it look like a mythological helmet.","Шлем Тора — пузыреобразная туманность, выдутая мощной массивной звездой. Ее дуги, похожие на крылья, напоминают мифологический шлем.",nebula,туманность,data/curated_space_objects/images/thors_helmet.jpg
Crescent Nebula,Туманность Полумесяц,"fierce, luminous, graceful","яростный, светящийся, изящный","The Crescent Nebula is a glowing shell of gas around a hot, massive star. Stellar winds have shaped it into a curved, bright arc.",Туманность Полумесяц — светящаяся оболочка газа вокруг горячей массивной звезды. Звездные ветры придали ей форму яркой изогнутой дуги.,nebula,туманность,data/curated_space_objects/images/crescent_nebula.jpg
Pleiades,Плеяды,"sparkling, social, youthful","искрящийся, общительный, юный",The Pleiades are a bright open star cluster also known as the Seven Sisters. Its young blue stars are surrounded by faint reflection nebulosity.,"Плеяды — яркое рассеянное звездное скопление, также известное как Семь Сестер. Его молодые голубые звезды окружены слабым отраженным свечением.",star cluster,звездное скопление,data/curated_space_objects/images/pleiades.jpg
Hyades,Гиады,"wise, warm, steady","мудрый, теплый, устойчивый",The Hyades are the nearest open star cluster to Earth and form the V-shaped face of Taurus. Its stars are older and warmer-looking than the Pleiades.,"Гиады — ближайшее к Земле рассеянное звездное скопление, образующее V-образное лицо Тельца. Его звезды старше и выглядят теплее, чем звезды Плеяд.",star cluster,звездное скопление,data/curated_space_objects/images/hyades.jpg
Omega Centauri,Омега Центавра,"profound, ancient, wise","глубокий, древний, мудрый",Omega Centauri is the largest and brightest globular cluster in the Milky Way. It contains millions of ancient stars packed into a dense sphere.,"Омега Центавра — самое большое и яркое шаровое скопление Млечного Пути. Оно содержит миллионы древних звезд, собранных в плотную сферу.",globular cluster,шаровое скопление,data/curated_space_objects/images/omega_centauri.jpg
47 Tucanae,47 Тукана,"concentrated, warm, old-soul","собранный, тёплый, мудрый не по годам",47 Tucanae is a massive globular cluster near the Small Magellanic Cloud. Its dense golden core contains hundreds of thousands of old stars.,47 Тукана — массивное шаровое скопление рядом с Малым Магеллановым Облаком. Его плотное золотистое ядро содержит сотни тысяч старых звезд.,globular cluster,шаровое скопление,data/curated_space_objects/images/47_tucanae.jpg
Hercules Globular Cluster,Шаровое скопление Геркулеса,"deep, bright, wise","глубокий, яркий, мудрый",The Hercules Globular Cluster is a bright sphere of ancient stars in the constellation Hercules. It is one of the best-known globular clusters in the northern sky.,Шаровое скопление Геркулеса — яркая сфера древних звезд в созвездии Геркулеса. Это одно из самых известных шаровых скоплений северного неба.,globular cluster,шаровое скопление,data/curated_space_objects/images/hercules_globular_cluster.jpg
Beehive Cluster,Скопление Улей,"social, bright, friendly","общительный, яркий, дружелюбный",The Beehive Cluster is a nearby open cluster visible to the naked eye under dark skies. Its many stars resemble a swarm of bees.,"Скопление Ясли — близкое рассеянное скопление, видимое невооруженным глазом на темном небе. Множество его звезд напоминает рой пчел.",open cluster,рассеянное скопление,data/curated_space_objects/images/beehive_cluster.jpg
Jewel Box Cluster,Скопление Шкатулка Драгоценностей,"colorful, bright, refined","яркий, сияющий, изысканный","The Jewel Box Cluster is a small open cluster famous for its colorful stars. Through a telescope, it looks like a tiny box of gemstones.","Скопление Шкатулка Драгоценностей — небольшое рассеянное скопление, известное разноцветными звездами. В телескоп оно похоже на маленькую шкатулку с камнями.",open cluster,рассеянное скопление,data/curated_space_objects/images/jewel_box_cluster.jpg
Quintuplet Cluster,Скопление Квинтуплет,"rare, energetic, intense","редкий, энергичный, интенсивный",The Quintuplet Cluster is a dense group of young massive stars near the center of the Milky Way. It contains some of the most luminous stars in our galaxy.,Скопление Квинтуплет — плотная группа молодых массивных звезд рядом с центром Млечного Пути. В нем находятся одни из самых ярких звезд нашей галактики.,star cluster,звездное скопление,data/curated_space_objects/images/quintuplet_cluster.jpg
Arches Cluster,Скопление Арки,"powerful, young, bold","мощный, молодой, дерзкий",The Arches Cluster is one of the densest young star clusters in the Milky Way. Its massive stars lie close to the galactic center.,Скопление Арки — одно из самых плотных молодых звездных скоплений Млечного Пути. Его массивные звезды находятся рядом с центром галактики.,star cluster,звездное скопление,data/curated_space_objects/images/arches_cluster.jpg
Saturn,Сатурн,"elegant, distinguished, calm","элегантный, выдающийся, спокойный",Saturn is a gas giant best known for its spectacular ring system. Its pale golden disk and icy rings make it one of the most elegant planets.,"Сатурн — газовый гигант, знаменитый своей великолепной системой колец. Его бледно-золотой диск и ледяные кольца делают его одной из самых элегантных планет.",planet,планета,data/curated_space_objects/images/saturn.jpg
Jupiter,Юпитер,"grand, confident, stormy","грандиозный, уверенный, бурный",Jupiter is the largest planet in the Solar System and a world of powerful storms. Its Great Red Spot is a giant storm larger than Earth.,Юпитер — крупнейшая планета Солнечной системы и мир мощных бурь. Его Большое Красное Пятно — гигантский шторм больше Земли.,planet,планета,data/curated_space_objects/images/jupiter.jpg
Mars,Марс,"bold, rugged, adventurous","смелый, закалённый, авантюрный","Mars is the fourth planet from the Sun, known as the Red Planet because of its rusty surface. It has giant volcanoes, deep canyons, and signs of ancient water.","Марс — четвертая планета от Солнца, известная как Красная планета из-за ржавого цвета поверхности. На нем есть гигантские вулканы, глубокие каньоны и следы древней воды.",planet,планета,data/curated_space_objects/images/mars.jpg
Venus,Венера,"bright, mysterious, intense","яркий, загадочный, интенсивный",Venus is a bright rocky planet covered by thick clouds. Beneath them is a scorching surface with extreme pressure and volcanic landscapes.,"Венера — яркая каменистая планета, скрытая плотными облаками. Под ними находится раскаленная поверхность с огромным давлением и вулканическими ландшафтами.",planet,планета,data/curated_space_objects/images/venus.jpg
Neptune,Нептун,"deep, dreamy, distant","глубокий, мечтательный, далёкий",Neptune is a distant ice giant with deep blue color and supersonic winds. It is the outermost major planet in the Solar System.,Нептун — далекий ледяной гигант глубокого синего цвета со сверхзвуковыми ветрами. Это самая дальняя большая планета Солнечной системы.,planet,планета,data/curated_space_objects/images/neptune.jpg
Uranus,Уран,"unusual, quiet, detached","необычный, тихий, отстранённый","Uranus is an ice giant that rotates on its side, making it one of the strangest planets. Its pale blue color comes from methane in the atmosphere.","Уран — ледяной гигант, вращающийся почти на боку, что делает его одной из самых странных планет. Его бледно-голубой цвет связан с метаном в атмосфере.",planet,планета,data/curated_space_objects/images/uranus.jpg
Mercury,Меркурий,"quick, sharp, restless","быстрый, острый, неугомонный",Mercury is the smallest planet and the closest one to the Sun. Its cratered surface experiences extreme temperature changes.,Меркурий — самая маленькая планета и ближайшая к Солнцу. Его покрытая кратерами поверхность переживает резкие перепады температур.,planet,планета,data/curated_space_objects/images/mercury.jpg
Earth,Земля,"vibrant, balanced, grounded","живой, гармоничный, устойчивый",Earth is the only known planet with life and liquid water on its surface. Its blue oceans and white clouds make it instantly recognizable from space.,Земля — единственная известная планета с жизнью и жидкой водой на поверхности. Синие океаны и белые облака делают ее легко узнаваемой из космоса.,planet,планета,data/curated_space_objects/images/earth.jpg
Europa,Европа,"icy, secretive, full of potential","ледяной, скрытный, полный потенциала",Europa is an icy moon of Jupiter with a hidden ocean beneath its cracked surface. It is one of the most promising places to search for life beyond Earth.,Европа — ледяной спутник Юпитера со скрытым океаном под растрескавшейся поверхностью. Это одно из самых перспективных мест для поиска жизни за пределами Земли.,moon,спутник,data/curated_space_objects/images/europa.jpg
Titan,Титан,"hazy, alien, complex","туманный, инопланетный, сложный",Titan is Saturn’s largest moon and the only moon with a thick atmosphere. It has lakes and rivers of liquid methane on its surface.,Титан — крупнейший спутник Сатурна и единственный спутник с плотной атмосферой. На его поверхности есть озера и реки из жидкого метана.,moon,спутник,data/curated_space_objects/images/titan.jpg
